numid,vlanid,name,ipnet,mask,gateway,ip,cidr,size,ipnum
38,5038,DMZ,172.18.164.0/23,255.255.254.0,172.18.165.254,172.18.164.0,23,512,2886902784
38,4038,DMZ_PUB,172.18.166.0/25,255.255.255.128,172.18.166.126,172.18.166.0,25,128,2886903296
38,2238,TOIP,172.18.166.128/26,255.255.255.192,172.18.166.190,172.18.166.128,26,64,2886903424
38,5338,IMPRESSION,172.18.166.192/26,255.255.255.192,172.18.166.254,172.18.166.192,26,64,2886903488
38,1538,PROD,172.18.167.0/25,255.255.255.128,172.18.167.126,172.18.167.0,25,128,2886903552
38,938,TEST,172.18.167.128/25,255.255.255.128,172.18.167.254,172.18.167.128,25,128,2886903680
39,1139,INFRA,10.50.37.0/24,255.255.255.0,10.50.37.1,10.50.37.0,24,256,171058432
39,5039,DMZ,172.18.168.0/23,255.255.254.0,172.18.169.254,172.18.168.0,23,512,2886903808
39,4039,DMZ_PUB,172.18.170.0/25,255.255.255.128,172.18.170.126,172.18.170.0,25,128,2886904320
39,2239,TOIP,172.18.170.128/26,255.255.255.192,172.18.170.190,172.18.170.128,26,64,2886904448
39,5339,IMPRESSION,172.18.170.192/26,255.255.255.192,172.18.170.254,172.18.170.192,26,64,2886904512
39,1539,PROD,172.18.171.0/25,255.255.255.128,172.18.171.126,172.18.171.0,25,128,2886904576
39,939,TEST,172.18.171.128/25,255.255.255.128,172.18.171.254,172.18.171.128,25,128,2886904704
40,1140,INFRA,10.50.30.0/24,255.255.255.0,10.50.30.1,10.50.30.0,24,256,171056640
40,5040,DMZ,172.18.172.0/23,255.255.254.0,172.18.173.254,172.18.172.0,23,512,2886904832
40,4040,DMZ_PUB,172.18.174.0/25,255.255.255.128,172.18.174.126,172.18.174.0,25,128,2886905344
40,2240,TOIP,172.18.174.128/26,255.255.255.192,172.18.174.190,172.18.174.128,26,64,2886905472
40,5340,IMPRESSION,172.18.174.192/26,255.255.255.192,172.18.174.254,172.18.174.192,26,64,2886905536
40,1540,PROD,172.18.175.0/25,255.255.255.128,172.18.175.126,172.18.175.0,25,128,2886905600
40,940,TEST,172.18.175.128/25,255.255.255.128,172.18.175.254,172.18.175.128,25,128,2886905728
41,1141,INFRA,10.50.58.0/24,255.255.255.0,10.50.58.1,10.50.58.0,24,256,171063808
41,5041,DMZ,172.18.176.0/23,255.255.254.0,172.18.177.254,172.18.176.0,23,512,2886905856
41,4041,DMZ_PUB,172.18.178.0/25,255.255.255.128,172.18.178.126,172.18.178.0,25,128,2886906368
41,2241,TOIP,172.18.178.128/26,255.255.255.192,172.18.178.190,172.18.178.128,26,64,2886906496
41,5341,IMPRESSION,172.18.178.192/26,255.255.255.192,172.18.178.254,172.18.178.192,26,64,2886906560
41,1541,PROD,172.18.179.0/25,255.255.255.128,172.18.179.126,172.18.179.0,25,128,2886906624
41,941,TEST,172.18.179.128/25,255.255.255.128,172.18.179.254,172.18.179.128,25,128,2886906752
42,1142,INFRA,10.50.57.0/24,255.255.255.0,10.50.57.1,10.50.57.0,24,256,171063552
42,5042,DMZ,172.18.180.0/23,255.255.254.0,172.18.181.254,172.18.180.0,23,512,2886906880
42,4042,DMZ_PUB,172.18.182.0/25,255.255.255.128,172.18.182.126,172.18.182.0,25,128,2886907392
42,2242,TOIP,172.18.182.128/26,255.255.255.192,172.18.182.190,172.18.182.128,26,64,2886907520
42,5342,IMPRESSION,172.18.182.192/26,255.255.255.192,172.18.182.254,172.18.182.192,26,64,2886907584
42,1542,PROD,172.18.183.0/25,255.255.255.128,172.18.183.126,172.18.183.0,25,128,2886907648
42,942,TEST,172.18.183.128/25,255.255.255.128,172.18.183.254,172.18.183.128,25,128,2886907776
43,1143,INFRA,10.50.27.0/24,255.255.255.0,10.50.27.1,10.50.27.0,24,256,171055872
43,5043,DMZ,172.18.184.0/23,255.255.254.0,172.18.185.254,172.18.184.0,23,512,2886907904
43,4043,DMZ_PUB,172.18.186.0/25,255.255.255.128,172.18.186.126,172.18.186.0,25,128,2886908416
43,2243,TOIP,172.18.186.128/26,255.255.255.192,172.18.186.190,172.18.186.128,26,64,2886908544
43,5343,IMPRESSION,172.18.186.192/26,255.255.255.192,172.18.186.254,172.18.186.192,26,64,2886908608
43,1543,PROD,172.18.187.0/25,255.255.255.128,172.18.187.126,172.18.187.0,25,128,2886908672
43,943,TEST,172.18.187.128/25,255.255.255.128,172.18.187.254,172.18.187.128,25,128,2886908800
44,1144,INFRA,10.50.56.0/24,255.255.255.0,10.50.56.1,10.50.56.0,24,256,171063296
44,5044,DMZ,172.18.188.0/23,255.255.254.0,172.18.189.254,172.18.188.0,23,512,2886908928
44,4044,DMZ_PUB,172.18.190.0/25,255.255.255.128,172.18.190.126,172.18.190.0,25,128,2886909440
44,2244,TOIP,172.18.190.128/26,255.255.255.192,172.18.190.190,172.18.190.128,26,64,2886909568
44,5344,IMPRESSION,172.18.190.192/26,255.255.255.192,172.18.190.254,172.18.190.192,26,64,2886909632
44,1544,PROD,172.18.191.0/25,255.255.255.128,172.18.191.126,172.18.191.0,25,128,2886909696
44,944,TEST,172.18.191.128/25,255.255.255.128,172.18.191.254,172.18.191.128,25,128,2886909824
45,1145,INFRA,10.50.43.0/24,255.255.255.0,10.50.43.1,10.50.43.0,24,256,171059968
45,5045,DMZ,172.18.192.0/23,255.255.254.0,172.18.193.254,172.18.192.0,23,512,2886909952
45,4045,DMZ_PUB,172.18.194.0/25,255.255.255.128,172.18.194.126,172.18.194.0,25,128,2886910464
45,2245,TOIP,172.18.194.128/26,255.255.255.192,172.18.194.190,172.18.194.128,26,64,2886910592
45,5345,IMPRESSION,172.18.194.192/26,255.255.255.192,172.18.194.254,172.18.194.192,26,64,2886910656
45,1545,PROD,172.18.195.0/25,255.255.255.128,172.18.195.126,172.18.195.0,25,128,2886910720
45,945,TEST,172.18.195.128/25,255.255.255.128,172.18.195.254,172.18.195.128,25,128,2886910848
46,1146,INFRA,10.50.31.0/24,255.255.255.0,10.50.31.1,10.50.31.0,24,256,171056896
46,5046,DMZ,172.18.196.0/23,255.255.254.0,172.18.197.254,172.18.196.0,23,512,2886910976
46,4046,DMZ_PUB,172.18.198.0/25,255.255.255.128,172.18.198.126,172.18.198.0,25,128,2886911488
46,2246,TOIP,172.18.198.128/26,255.255.255.192,172.18.198.190,172.18.198.128,26,64,2886911616
46,5346,IMPRESSION,172.18.198.192/26,255.255.255.192,172.18.198.254,172.18.198.192,26,64,2886911680
46,1546,PROD,172.18.199.0/25,255.255.255.128,172.18.199.126,172.18.199.0,25,128,2886911744
46,946,TEST,172.18.199.128/25,255.255.255.128,172.18.199.254,172.18.199.128,25,128,2886911872
47,1147,INFRA,10.50.49.0/24,255.255.255.0,10.50.49.1,10.50.49.0,24,256,171061504
47,5047,DMZ,172.18.200.0/23,255.255.254.0,172.18.201.254,172.18.200.0,23,512,2886912000
47,4047,DMZ_PUB,172.18.202.0/25,255.255.255.128,172.18.202.126,172.18.202.0,25,128,2886912512
47,2247,TOIP,172.18.202.128/26,255.255.255.192,172.18.202.190,172.18.202.128,26,64,2886912640
47,5347,IMPRESSION,172.18.202.192/26,255.255.255.192,172.18.202.254,172.18.202.192,26,64,2886912704
47,1547,PROD,172.18.203.0/25,255.255.255.128,172.18.203.126,172.18.203.0,25,128,2886912768
47,947,TEST,172.18.203.128/25,255.255.255.128,172.18.203.254,172.18.203.128,25,128,2886912896
48,1148,INFRA,10.50.70.0/24,255.255.255.0,10.50.70.1,10.50.70.0,24,256,171066880
48,5048,DMZ,172.18.204.0/23,255.255.254.0,172.18.205.254,172.18.204.0,23,512,2886913024
48,4048,DMZ_PUB,172.18.206.0/25,255.255.255.128,172.18.206.126,172.18.206.0,25,128,2886913536
48,2248,TOIP,172.18.206.128/26,255.255.255.192,172.18.206.190,172.18.206.128,26,64,2886913664
48,5348,IMPRESSION,172.18.206.192/26,255.255.255.192,172.18.206.254,172.18.206.192,26,64,2886913728
48,1548,PROD,172.18.207.0/25,255.255.255.128,172.18.207.126,172.18.207.0,25,128,2886913792
48,948,TEST,172.18.207.128/25,255.255.255.128,172.18.207.254,172.18.207.128,25,128,2886913920
49,1149,INFRA,10.50.63.0/24,255.255.255.0,10.50.63.1,10.50.63.0,24,256,171065088
49,5049,DMZ,172.18.212.0/23,255.255.254.0,172.18.213.254,172.18.212.0,23,512,2886915072
49,4049,DMZ_PUB,172.18.214.0/25,255.255.255.128,172.18.214.126,172.18.214.0,25,128,2886915584
49,2249,TOIP,172.18.214.128/26,255.255.255.192,172.18.214.190,172.18.214.128,26,64,2886915712
49,5349,IMPRESSION,172.18.214.192/26,255.255.255.192,172.18.214.254,172.18.214.192,26,64,2886915776
49,1549,PROD,172.18.215.0/25,255.255.255.128,172.18.215.126,172.18.215.0,25,128,2886915840
49,949,TEST,172.18.215.128/25,255.255.255.128,172.18.215.254,172.18.215.128,25,128,2886915968
50,1150,INFRA,10.50.35.0/24,255.255.255.0,10.50.35.1,10.50.35.0,24,256,171057920
50,5050,DMZ,172.18.216.0/23,255.255.254.0,172.18.217.254,172.18.216.0,23,512,2886916096
50,4050,DMZ_PUB,172.18.218.0/25,255.255.255.128,172.18.218.126,172.18.218.0,25,128,2886916608
50,2250,TOIP,172.18.218.128/26,255.255.255.192,172.18.218.190,172.18.218.128,26,64,2886916736
50,5350,IMPRESSION,172.18.218.192/26,255.255.255.192,172.18.218.254,172.18.218.192,26,64,2886916800
50,1550,PROD,172.18.219.0/25,255.255.255.128,172.18.219.126,172.18.219.0,25,128,2886916864
50,950,TEST,172.18.219.128/25,255.255.255.128,172.18.219.254,172.18.219.128,25,128,2886916992
51,1151,INFRA,10.50.44.0/24,255.255.255.0,10.50.44.1,10.50.44.0,24,256,171060224
51,5051,DMZ,172.18.220.0/23,255.255.254.0,172.18.221.254,172.18.220.0,23,512,2886917120
51,4051,DMZ_PUB,172.18.222.0/25,255.255.255.128,172.18.222.126,172.18.222.0,25,128,2886917632
51,2251,TOIP,172.18.222.128/26,255.255.255.192,172.18.222.190,172.18.222.128,26,64,2886917760
51,5351,IMPRESSION,172.18.222.192/26,255.255.255.192,172.18.222.254,172.18.222.192,26,64,2886917824
51,1551,PROD,172.18.223.0/25,255.255.255.128,172.18.223.126,172.18.223.0,25,128,2886917888
51,951,TEST,172.18.223.128/25,255.255.255.128,172.18.223.254,172.18.223.128,25,128,2886918016
52,1152,INFRA,10.50.79.0/24,255.255.255.0,10.50.79.1,10.50.79.0,24,256,171069184
52,5052,DMZ,172.18.224.0/23,255.255.254.0,172.18.225.254,172.18.224.0,23,512,2886918144
52,4052,DMZ_PUB,172.18.226.0/25,255.255.255.128,172.18.226.126,172.18.226.0,25,128,2886918656
52,2252,TOIP,172.18.226.128/26,255.255.255.192,172.18.226.190,172.18.226.128,26,64,2886918784
52,5352,IMPRESSION,172.18.226.192/26,255.255.255.192,172.18.226.254,172.18.226.192,26,64,2886918848
52,1552,PROD,172.18.227.0/25,255.255.255.128,172.18.227.126,172.18.227.0,25,128,2886918912
52,952,TEST,172.18.227.128/25,255.255.255.128,172.18.227.254,172.18.227.128,25,128,2886919040
53,1153,INFRA,10.50.62.0/24,255.255.255.0,10.50.62.1,10.50.62.0,24,256,171064832
53,5053,DMZ,172.18.228.0/23,255.255.254.0,172.18.229.254,172.18.228.0,23,512,2886919168
53,4053,DMZ_PUB,172.18.230.0/25,255.255.255.128,172.18.230.126,172.18.230.0,25,128,2886919680
53,2253,TOIP,172.18.230.128/26,255.255.255.192,172.18.230.190,172.18.230.128,26,64,2886919808
53,5353,IMPRESSION,172.18.230.192/26,255.255.255.192,172.18.230.254,172.18.230.192,26,64,2886919872
53,1553,PROD,172.18.231.0/25,255.255.255.128,172.18.231.126,172.18.231.0,25,128,2886919936
53,953,TEST,172.18.231.128/25,255.255.255.128,172.18.231.254,172.18.231.128,25,128,2886920064
54,1154,INFRA,10.50.78.0/24,255.255.255.0,10.50.78.1,10.50.78.0,24,256,171068928
54,5054,DMZ,172.18.232.0/23,255.255.254.0,172.18.233.254,172.18.232.0,23,512,2886920192
54,4054,DMZ_PUB,172.18.234.0/25,255.255.255.128,172.18.234.126,172.18.234.0,25,128,2886920704
54,2254,TOIP,172.18.234.128/26,255.255.255.192,172.18.234.190,172.18.234.128,26,64,2886920832
54,5354,IMPRESSION,172.18.234.192/26,255.255.255.192,172.18.234.254,172.18.234.192,26,64,2886920896
54,1554,PROD,172.18.235.0/25,255.255.255.128,172.18.235.126,172.18.235.0,25,128,2886920960
54,954,TEST,172.18.235.128/25,255.255.255.128,172.18.235.254,172.18.235.128,25,128,2886921088
55,1155,INFRA,10.50.69.0/24,255.255.255.0,10.50.69.1,10.50.69.0,24,256,171066624
55,5055,DMZ,172.18.236.0/23,255.255.254.0,172.18.237.254,172.18.236.0,23,512,2886921216
55,4055,DMZ_PUB,172.18.238.0/25,255.255.255.128,172.18.238.126,172.18.238.0,25,128,2886921728
55,2255,TOIP,172.18.238.128/26,255.255.255.192,172.18.238.190,172.18.238.128,26,64,2886921856
55,5355,IMPRESSION,172.18.238.192/26,255.255.255.192,172.18.238.254,172.18.238.192,26,64,2886921920
55,1555,PROD,172.18.239.0/25,255.255.255.128,172.18.239.126,172.18.239.0,25,128,2886921984
55,955,TEST,172.18.239.128/25,255.255.255.128,172.18.239.254,172.18.239.128,25,128,2886922112
56,1156,INFRA,10.50.32.0/24,255.255.255.0,10.50.32.1,10.50.32.0,24,256,171057152
56,5056,DMZ,172.18.240.0/23,255.255.254.0,172.18.241.254,172.18.240.0,23,512,2886922240
56,4056,DMZ_PUB,172.18.242.0/25,255.255.255.128,172.18.242.126,172.18.242.0,25,128,2886922752
56,2256,TOIP,172.18.242.128/26,255.255.255.192,172.18.242.190,172.18.242.128,26,64,2886922880
56,5356,IMPRESSION,172.18.242.192/26,255.255.255.192,172.18.242.254,172.18.242.192,26,64,2886922944
56,1556,PROD,172.18.243.0/25,255.255.255.128,172.18.243.126,172.18.243.0,25,128,2886923008
56,956,TEST,172.18.243.128/25,255.255.255.128,172.18.243.254,172.18.243.128,25,128,2886923136
